Project ID,Registry,Voluntary_Status,Scope,Type,Country,Total_Credits,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR102,ACR,Completed,Chemical_Processes,Reduction,United States of America,17666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1966,400,10025,275,0,0,0,0,0,0,0
ACR103,ACR,Completed,Agriculture,Reduction,United States of America,44202,0,0,0,0,0,0,0,0,0,66,0,134,0,0,13850,10490,147,3917,0,0,0,32,0,0,0,0,0
ACR106,ACR,Completed,Waste_Management,Reduction,United States of America,109452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,41330,0,0,14122
ACR107,ACR,Completed,Industrial_Commercial,Reduction,Bolivia,1138,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR109,ACR,Completed,Industrial_Commercial,Reduction,United States of America,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,118311,80571,0,0,0,0
ACR112,ACR,Completed,Waste_Management,Reduction,United States of America,88809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33422,55387,0,0
ACR113,ACR,Completed,Waste_Management,Reduction,United States of America,468110,0,0,0,0,0,0,0,0,0,0,60,1158,2155,4377,33386,4581,15971,133203,7325,400,500,655,2500,0,0,0,0
ACR114,ACR,Registered,Forestry_Land_Use,Removal,United States of America,3111895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2843,268,44780,33825,100160,226398,330063,381181,1139192,346341,506841
ACR117,ACR,Completed,Carbon_Capture_Storage,Reduction,United States of America,5107419,0,0,0,0,0,0,0,0,0,0,0,198,625000,27500,0,38725,0,0,0,376274,0,0,0,0,40907,60842,2053891
ACR118,ACR,Completed,Carbon_Capture_Storage,Reduction,United States of America,883500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883500,0,0
ACR119,ACR,Completed,Waste_Management,Reduction,United States of America,1102790,0,0,0,0,0,0,0,0,0,0,3687,9048,76170,52000,27564,5732,12565,141871,1000,0,0,885,0,1320,0,28750,0
