Project ID,Voluntary Registry,Voluntary Status,Scope,Type,Country,"Total Credits 
Issued",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR102,ACR,Completed,Chemical Processes,Reduction,United States,7984006,0,0,0,0,0,0,0,0,0,1898000,6086006,0,0,0,0,-5000,-1966,-400,-10025,-275,0,0,0,0,0,0,0
ACR103,ACR,Completed,Agriculture,Reduction,United States,44202,0,0,0,0,0,0,0,0,0,13782,4481,-134,11630,0,393,-10490,-147,-3917,0,0,0,-32,0,0,0,0,0
ACR106,ACR,Completed,Waste Management,Reduction,United States,138492,0,0,0,0,0,0,0,0,0,0,0,138492,0,0,0,0,0,0,0,0,0,0,-54000,-41330,0,0,0
ACR107,ACR,Completed,Industrial Manufacturing,Reduction,Bolivia,1138,0,0,0,0,0,0,0,0,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR109,ACR,Registered,Industrial Manufacturing,Reduction,United States,541804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231023,0,0,310781,0,-1118,-118311,-80571,0,0,0,0
ACR110,ACR,Completed,Waste Management,Reduction,United States,62262,0,0,0,0,0,0,0,0,0,0,0,62262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR111,ACR,Registered,Industrial Manufacturing,Reduction,United States,5724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5724,0,0,0,0,0,0,0,0,0,0,0,0
ACR112,ACR,Completed,Waste Management,Reduction,United States,159336,0,0,0,0,0,0,0,0,0,0,0,159336,0,0,0,0,0,0,0,0,0,0,0,-33422,-55387,0,0
ACR113,ACR,Completed,Waste Management,Reduction,United States,713162,0,0,0,0,0,0,0,0,0,0,29209,494135,122245,59823,-33386,-4581,-15971,-133203,-7325,-400,-500,-655,-2500,0,0,0,0
ACR114,ACR,Registered,Forestry & Land Use,Impermanent Removal,United States,6270862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,42895,13765,254228,70345,626098,-100160,828530,943803,-381181,533543,832823,-91020
